timestamp,arbitration_id,extended,remote,error,dlc,data
0.0,0x1a7,0,0,0,8,AACcGAgARBY=
0.138,0x12a,0,0,0,8,EAAAAAACAAA=
0.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
0.6,0x310,0,0,0,8,AQACAAAAAAA=
0.7,0x50e,0,0,0,8,AAAAAAAAAAA=
0.727,0x10c,0,0,0,8,AQCAAAAAAAA=
0.786,0x12c,0,0,0,8,AggAAHAXAAA=
0.8,0x19f,0,0,0,8,AAAAAHgoAAA=
0.9,0x50f,0,0,0,8,eCgzAHUFXwA=
0.918,0x12d,0,0,0,8,AACIE+AuAQA=
1.0,0x1a7,0,0,0,8,AACcGAgARBY=
1.1,0x644,0,0,0,8,EwoAAAMAAAA=
1.137,0x12a,0,0,0,8,EAAAAAACAAA=
1.178,0x10b,0,0,0,8,BQ8AAAAAAAA=
1.2,0x645,0,0,0,8,BQAAAAAAAAA=
1.6,0x310,0,0,0,8,AQACAAAAAAA=
1.7,0x50e,0,0,0,8,AAAAAAAAAAA=
1.728,0x10c,0,0,0,8,AQCAAAAAAAA=
1.787,0x12c,0,0,0,8,AggAAHAXAAA=
1.801,0x19f,0,0,0,8,AAAAAHgoAAA=
1.9,0x50f,0,0,0,8,eCgwAHcFXwA=
1.917,0x12d,0,0,0,8,AACIE+AuAQA=
2.0,0x1a7,0,0,0,8,AACcGAgARBY=
2.137,0x12a,0,0,0,8,EAAAAAACAAA=
2.176,0x10b,0,0,0,8,BQ8AAAAAAAA=
2.601,0x310,0,0,0,8,AQACAAAAAAA=
2.7,0x50e,0,0,0,8,AAAAAAAAAAA=
2.726,0x10c,0,0,0,8,AQCAAAAAAAA=
2.79,0x12c,0,0,0,8,AggAAHAXAAA=
2.8,0x19f,0,0,0,8,AAAAAHgoAAA=
2.9,0x50f,0,0,0,8,eCgvAHYFXwA=
2.925,0x12d,0,0,0,8,AACIE+AuAQA=
3.0,0x1a7,0,0,0,8,AACcGAgARBY=
3.137,0x12a,0,0,0,8,EAAAAAACAAA=
3.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
3.58,0x8192a3b,1,0,0,8,AAAAAAAAAAA=
3.6,0x310,0,0,0,8,AQACAAAAAAA=
3.7,0x50e,0,0,0,8,AAAAAAAAAAA=
3.728,0x10c,0,0,0,8,AQCAAAAAAAA=
3.787,0x12c,0,0,0,8,AggAAHAXAAA=
3.8,0x19f,0,0,0,8,AAAAAHgoAAA=
3.899,0x50f,0,0,0,8,eSgoAHQFXwA=
3.919,0x12d,0,0,0,8,AACIE+AuAQA=
4.0,0x1a7,0,0,0,8,AACcGAgARBY=
4.101,0x10000201,1,0,0,8,AwICAAAAAwA=
4.137,0x12a,0,0,0,8,EAAAAAACAAA=
4.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
4.2,0x10000202,1,0,0,8,AAAAAAAAAAA=
4.301,0x10000203,1,0,0,8,ZwADADgPeSg=
4.4,0x10000204,1,0,0,8,UijR/3YFXwA=
4.501,0x10000205,1,0,0,8,AQBkZGRkAAA=
4.503,0x10000206,1,0,0,8,AABEFpwY7BM=
4.506,0x10000207,1,0,0,8,AAAAANEQAAA=
4.509,0x10000208,1,0,0,8,AAAAAAAAAAA=
4.6,0x310,0,0,0,8,AQACAAAAAAA=
4.7,0x50e,0,0,0,8,AAAAAAAAAAA=
4.727,0x10c,0,0,0,8,AQCAAAAAAAA=
4.788,0x12c,0,0,0,8,AggAAHAXAAA=
4.8,0x19f,0,0,0,8,AAAAAHgoAAA=
4.9,0x50f,0,0,0,8,eCgrAHYFXwA=
4.918,0x12d,0,0,0,8,AACIE+AuAQA=
5.0,0x1a7,0,0,0,8,AACcGAgARBY=
